,generation,best_fitness,min_fitness,average_fitness,std_fitness,test_fitness,experiment_id,repetition,config,count_better,count_worse
0,0,0.0960613170865325,1.113148687615448e-05,0.012729617527945497,0.016600321141039116,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
1,1,0.0960613170865325,0.00012221647083594456,0.019998251430685347,0.022210958011563017,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
2,2,0.0960613170865325,1.2040300767436537e-05,0.018582730281905428,0.020787560777771295,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
3,3,0.0960613170865325,1.2040300767436537e-05,0.01998300965958602,0.020747925578438943,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
4,4,0.0960613170865325,3.2536703896502556e-05,0.026379869304786502,0.024694362755587597,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
5,5,0.17359065999794998,3.803410188467457e-05,0.02795554774835012,0.03064245463985495,0.1427404696873428,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
6,6,0.1861644292134593,3.143036271245386e-06,0.027033620708984338,0.03254606351506222,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
7,7,0.1861644292134593,5.514778287443675e-06,0.031190551915192342,0.03274424433147653,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
8,8,0.1861644292134593,1.356957979045803e-05,0.028539284344404135,0.03314748882673346,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
9,9,0.1861644292134593,2.5383490428103392e-05,0.029683012331883828,0.03071483182806165,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
10,10,0.1861644292134593,0.00018924806444375398,0.036666632036965144,0.04131601516978861,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
11,11,0.1861644292134593,1.2040300767436537e-05,0.03735140387456165,0.03944575682560082,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
12,12,0.1861644292134593,2.723947181737696e-06,0.036580767521577816,0.043567141835888924,0.06876466356517148,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
13,13,0.19737637819685377,0.0001675454098696106,0.04624817287231973,0.04708640971468214,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
14,14,0.19737637819685377,6.232449021384381e-16,0.05233807863977256,0.05155755992783178,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
15,15,0.19737637819685377,2.723947181737696e-06,0.045728189567112124,0.04687709575330508,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
16,16,0.19737637819685377,1.113148687615448e-05,0.044908708189710385,0.041482230291283034,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
17,17,0.19737637819685377,6.232449021384381e-16,0.039858909183077045,0.04054220632191633,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
18,18,0.19737637819685377,0.0001675454098696106,0.04108182190900756,0.04767072416582619,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
19,19,0.19737637819685377,2.5383490428103392e-05,0.05521888181865254,0.052704054493124874,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
20,20,0.19737637819685377,2.5383490428103392e-05,0.057933511295951846,0.05944233892713004,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
21,21,0.19737637819685377,0.0001675454098696106,0.05430577179357355,0.056681380474546295,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
22,22,0.19737637819685377,2.723947181737696e-06,0.05184251750483585,0.05021123553523409,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
23,23,0.19737637819685377,1.356957979045803e-05,0.06584819474512472,0.05758522442716281,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
24,24,0.19737637819685377,1.356957979045803e-05,0.05975926671437254,0.058937415513311414,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
25,25,0.19737637819685377,0.00018924806444375398,0.0649521122140656,0.05709368480311756,0.08310320750204143,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
26,26,0.23162650671623747,7.256214972115208e-05,0.06116482676062628,0.05908538312445963,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
27,27,0.23162650671623747,0.0002188766282482655,0.06447172803394023,0.06082524386592296,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
28,28,0.23162650671623747,0.00048318135702285925,0.06443666121255696,0.05845644353755699,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
29,29,0.23162650671623747,3.143036271245386e-06,0.06376377210374524,0.06419235782381637,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
30,30,0.23162650671623747,7.256214972115208e-05,0.05869401809787466,0.05626133824674781,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
31,31,0.23162650671623747,4.09297286671355e-05,0.05262966495035121,0.05260159822186353,0.2313598919830775,10,0,"{'population_size': 100, 'num_generations': 50, 'crossover_prob': 0.9, 'mutation_prob': 0.05, 'tournament_size': 2, 'experiment_id': 10, 'repetition': 0}",2097,2379
